City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description
74,isla vista,US,34.4133,-119.861,71.6,68.0,24,1,12.66,clear sky
75,pangnirtung,CA,66.1451,-65.7125,-15.21,-15.21,94,9,1.3,clear sky
76,bluff,NZ,-46.6,168.3333,54.0,54.0,96,87,3.0,overcast clouds
77,hobart,AU,-42.8794,147.3294,61.0,55.0,63,75,4.61,broken clouds
78,aklavik,CA,68.2191,-135.0107,-4.0,-4.0,59,20,2.3,few clouds
79,sakaiminato,JP,35.55,133.2333,55.4,53.6,100,75,5.75,mist
80,kichera,RU,55.9375,110.0997,19.98,19.98,95,100,5.32,snow
81,saint george,US,37.1041,-113.5841,71.6,70.0,20,40,33.38,scattered clouds
82,guadalupe y calvo,MX,26.1,-106.9667,70.41,70.41,9,0,11.45,clear sky
83,bengkulu,ID,-3.8004,102.2655,76.14,76.14,83,83,4.38,broken clouds
84,fort william,GB,56.8165,-5.1121,41.0,41.0,89,92,2.53,overcast clouds
85,victor harbor,AU,-35.5667,138.6167,64.99,64.99,86,2,7.02,clear sky
86,saldanha,ZA,-33.0117,17.9442,62.6,62.6,67,0,12.66,clear sky
87,new norfolk,AU,-42.7826,147.0587,62.01,55.0,63,8,1.01,clear sky
88,srivardhan,IN,18.0333,73.0167,72.72,72.72,69,0,5.03,clear sky
89,nemuro,JP,43.3236,145.575,30.69,30.69,92,100,17.31,light snow
90,tombouctou,ML,20.0,-3.0,77.52,77.52,13,0,9.64,clear sky
91,san policarpo,PH,12.1791,125.5072,81.05,81.05,83,99,13.31,overcast clouds
92,andra,RU,62.5147,65.8878,5.2,5.2,94,100,8.75,light snow
93,lavrentiya,RU,65.5833,-171.0,0.97,0.97,81,100,13.91,overcast clouds
94,kaitangata,NZ,-46.2817,169.8464,59.0,59.0,72,68,4.0,broken clouds
95,jamestown,US,42.097,-79.2353,53.6,45.0,20,1,3.96,clear sky
96,mar del plata,AR,-38.0023,-57.5575,69.01,68.0,77,0,3.44,clear sky
97,victoria,HK,22.2855,114.1577,75.0,64.99,85,56,5.19,broken clouds
98,los llanos de aridane,ES,28.6585,-17.9182,64.4,55.0,59,90,17.27,overcast clouds
99,baghmara,IN,23.795,86.2085,77.4,77.4,31,0,2.06,clear sky
100,araouane,ML,18.9048,-3.5265,79.14,79.14,13,0,10.16,clear sky
