City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Jamestown,US,2021-03-08 20:25:58,42.097,-79.2353,48.0,39,1,12.59
68,Chokurdakh,RU,2021-03-08 20:25:58,70.6333,147.9167,-17.27,88,96,10.63
69,Barrow,US,2021-03-08 20:24:42,71.2906,-156.7887,8.6,72,90,25.32
70,Kamenka,RU,2021-03-08 20:25:59,51.3223,42.7678,23.0,92,69,3.24
71,Bambous Virieux,MU,2021-03-08 20:25:59,-20.3428,57.7575,78.8,89,75,4.61
72,Hithadhoo,MV,2021-03-08 20:26:00,-0.6,73.0833,83.88,66,28,7.05
73,Barra Do Garcas,BR,2021-03-08 20:26:00,-15.89,-52.2567,77.0,88,75,4.61
74,Manta,EC,2021-03-08 20:26:00,-0.95,-80.7333,82.4,78,40,5.75
75,Salalah,OM,2021-03-08 20:25:18,17.0151,54.0924,77.0,44,0,3.44
76,Cancun,MX,2021-03-08 20:21:27,21.1743,-86.8466,78.8,57,75,12.66
77,Darhan,MN,2021-03-08 20:26:01,49.4867,105.9228,21.92,90,0,1.97
78,Tiksi,RU,2021-03-08 20:26:02,71.6872,128.8694,-23.21,85,100,12.75
79,Hasaki,JP,2021-03-08 20:26:03,35.7333,140.8333,41.0,81,75,10.36
80,Sao Francisco Do Sul,BR,2021-03-08 20:26:03,-26.2433,-48.6381,82.4,69,75,5.75
81,Kavieng,PG,2021-03-08 20:26:03,-2.5744,150.7967,81.45,78,100,12.19
82,Dikson,RU,2021-03-08 20:26:04,73.5069,80.5464,-27.02,87,81,3.04
83,Suchedniow,PL,2021-03-08 20:26:04,51.0478,20.8292,32.0,1,17,4.41
84,Xuddur,SO,2021-03-08 20:25:14,4.1213,43.8894,74.68,54,0,14.83
85,Ilulissat,GL,2021-03-08 20:26:05,69.2167,-51.1,19.4,73,75,8.05
86,Ferme-Neuve,CA,2021-03-08 20:26:05,46.7001,-75.4493,24.8,33,100,10.36
87,Codrington,AU,2021-03-08 20:26:06,-38.2667,141.9667,57.76,85,87,12.01
88,Saint-Philippe,RE,2021-03-08 20:26:06,-21.3585,55.7679,78.8,69,0,6.91
89,Yeppoon,AU,2021-03-08 20:23:55,-23.1333,150.7333,71.6,83,40,4.14
90,Sao Joao Da Barra,BR,2021-03-08 20:26:07,-21.6403,-41.0511,78.8,78,40,9.22
91,Mayo,US,2021-03-08 20:26:07,38.8876,-76.5119,52.0,45,1,9.22
92,Chibombo,ZM,2021-03-08 20:26:08,-14.6569,28.0706,61.59,97,87,2.98
93,Adrar,MR,2021-03-08 20:26:08,20.5022,-10.0711,68.54,27,0,10.29
94,Arraial Do Cabo,BR,2021-03-08 20:26:08,-22.9661,-42.0278,80.6,83,75,6.91
95,Saint Anthony,US,2021-03-08 20:26:09,45.0205,-93.218,57.2,24,1,3.44
96,Orange,US,2021-03-08 20:26:09,33.7,-117.7675,64.99,59,75,10.36
97,San Cristobal,VE,2021-03-08 20:26:10,7.7669,-72.225,84.2,65,40,6.91
98,Oga,IT,2021-03-08 20:26:10,46.4631,10.347,43.0,73,0,2.3
99,Port Alfred,ZA,2021-03-08 20:24:29,-33.5906,26.891,66.0,80,100,1.99
100,Constitucion,CL,2021-03-08 20:26:10,-35.3333,-72.4167,72.32,42,0,14.52
101,Hilo,US,2021-03-08 20:23:00,19.7297,-155.09,73.4,78,75,6.91
102,Busselton,AU,2021-03-08 20:26:11,-33.65,115.3333,64.99,86,4,4.0
103,Nishihara,JP,2021-03-08 20:26:05,26.1842,127.7558,66.2,72,20,2.51
104,Buala,SB,2021-03-08 20:26:12,-8.145,159.5921,79.59,77,36,3.67
105,Simoes,BR,2021-03-08 20:26:12,-7.5989,-40.8178,86.79,49,37,4.85
106,Faanui,PF,2021-03-08 20:26:13,-16.4833,-151.75,82.54,73,100,21.68
107,Khatanga,RU,2021-03-08 20:24:47,71.9667,102.5,-23.19,87,93,4.76
108,Lata,PT,2021-03-08 20:26:13,40.1629,-8.3327,55.0,81,0,5.99
109,Bahia Blanca,AR,2021-03-08 20:26:14,-38.7196,-62.2724,73.87,29,9,11.5
110,Gela,IT,2021-03-08 20:26:14,37.0803,14.2307,55.4,67,90,5.75
111,Severo-Kurilsk,RU,2021-03-08 20:26:15,50.6789,156.125,18.28,91,93,20.0
112,Zapadnaya Dvina,RU,2021-03-08 20:26:15,56.259,32.0745,9.91,95,34,5.55
113,Boden,SE,2021-03-08 20:26:15,65.8252,21.6886,19.4,93,90,4.61
114,Nome,US,2021-03-08 20:24:58,64.5011,-165.4064,32.0,100,90,23.02
115,Pevek,RU,2021-03-08 20:26:16,69.7008,170.3133,-16.51,89,100,6.26
116,Hovd,MN,2021-03-08 20:26:16,48.0056,91.6419,30.09,67,100,8.77
117,Kon Tum,VN,2021-03-08 20:26:17,14.35,108.0,59.92,91,1,2.95
118,Longyearbyen,SJ,2021-03-08 20:26:17,78.2186,15.6401,14.0,62,0,2.57
119,Sungairaya,ID,2021-03-08 20:26:17,0.7,108.9,76.98,84,99,6.24
120,Berlevag,NO,2021-03-08 20:26:18,70.8578,29.0864,23.0,86,75,13.8
121,Kaitangata,NZ,2021-03-08 20:26:18,-46.2817,169.8464,57.0,75,92,4.0
122,Kyabe,TD,2021-03-08 20:26:19,9.4515,18.9449,84.97,14,0,1.99
123,Ryotsu,JP,2021-03-08 20:26:19,38.0833,138.4333,38.52,74,2,6.78
124,Ribeira Grande,PT,2021-03-08 20:24:42,38.5167,-28.7,60.8,94,75,4.61
125,Fez,MA,2021-03-08 20:24:54,34.0372,-4.9998,50.0,93,75,6.91
126,Yatou,CN,2021-03-08 20:26:21,37.15,122.3833,37.85,76,100,5.1
127,Dekar,BW,2021-03-08 20:26:21,-21.5333,21.9333,74.79,45,44,5.59
128,Waingapu,ID,2021-03-08 20:26:22,-9.6567,120.2641,77.68,79,61,4.38
129,Qaanaaq,GL,2021-03-08 20:26:22,77.484,-69.3632,-7.98,66,69,6.02
130,Shaunavon,CA,2021-03-08 20:26:23,49.6501,-108.4181,33.8,64,100,9.22
131,Victoria,HK,2021-03-08 20:25:09,22.2855,114.1577,66.99,85,49,1.01
132,Delta,NG,2021-03-08 20:26:23,5.5,6.0,80.58,83,85,4.7
133,Ayan,RU,2021-03-08 20:26:24,56.45,138.1667,8.38,87,100,3.33
134,Dicabisagan,PH,2021-03-08 20:26:24,17.0818,122.4157,74.16,81,50,6.91
135,Birjand,IR,2021-03-08 20:26:25,32.8663,59.2211,51.8,24,0,11.5
136,Bocaiuva,BR,2021-03-08 20:26:25,-17.1078,-43.815,84.2,54,20,8.05
137,Yellowknife,CA,2021-03-08 20:26:25,62.456,-114.3525,-2.99,54,20,10.36
138,Villarrica,PY,2021-03-08 20:26:26,-25.75,-56.4333,89.15,26,0,6.8
139,Lagoa,PT,2021-03-08 20:26:26,39.05,-27.9833,59.04,90,95,3.76
140,Clarence Town,AU,2021-03-08 20:26:26,-32.5833,151.7833,69.8,78,0,11.5
141,Ponta Delgada,PT,2021-03-08 20:26:26,37.7333,-25.6667,55.4,88,20,12.66
142,Jipijapa,EC,2021-03-08 20:26:27,-1.3333,-80.5833,82.4,78,40,5.75
143,Wanning,CN,2021-03-08 20:26:28,18.8003,110.3967,71.58,90,33,5.82
144,Vila,PT,2021-03-08 20:26:28,42.0304,-8.1588,45.0,70,0,10.0
145,Waipawa,NZ,2021-03-08 20:26:10,-41.4122,175.5153,59.0,72,40,6.91
146,Tura,IN,2021-03-08 20:26:29,25.5198,90.2201,67.62,40,0,3.89
147,Bathsheba,BB,2021-03-08 20:26:29,13.2167,-59.5167,82.4,54,20,20.71
148,San Ramon,US,2021-03-08 20:25:43,37.7799,-121.978,57.99,41,20,14.97
149,Calama,CL,2021-03-08 20:25:06,-22.4667,-68.9333,77.0,23,0,29.93
