City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
251,grand baie,MU,80.01,light rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
254,miri,MY,77.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
264,oranjestad,AW,82.4,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
270,port blair,IN,77.47,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
271,gizo,SB,81.84,overcast clouds,-8.103,156.8419,Imagination Island
274,dakoro,NE,88.02,overcast clouds,14.5106,6.765,Shagon mai liverpool
279,mount isa,AU,75.2,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
283,hounde,BF,83.8,few clouds,11.5,-3.5167,Carrefour où ouvriers dorment
285,samarai,PG,83.7,overcast clouds,-10.6167,150.6667,Nuli Sapi
286,arlit,NE,82.35,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
287,vila velha,BR,80.6,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
298,samana,DO,80.6,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
299,tautira,PF,86.0,scattered clouds,-17.7333,-149.15,Pension Oaoa
301,bairiki,KI,82.4,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
305,mahajanga,MG,75.2,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
306,martaban,MM,76.19,scattered clouds,16.5314,97.6111,Lu Wa Gyi Guest House
307,bitung,ID,75.2,few clouds,1.4451,125.1824,K2 Lembeh
308,tessalit,ML,76.19,clear sky,20.1986,1.0114,
315,banjar,ID,80.6,broken clouds,-8.19,114.9675,The Hamsa Resort
317,daru,PG,81.32,overcast clouds,-9.0763,143.2092,Daru Lodge
318,arraial do cabo,BR,80.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
319,sinnamary,GF,77.05,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
322,nacala,MZ,75.99,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
326,guarapari,BR,80.6,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
327,porto nacional,BR,78.8,scattered clouds,-10.7081,-48.4172,Vila Real Hotel
329,pemba,MZ,80.6,few clouds,-12.974,40.5178,Guesthouse Samotina
330,faanui,PF,83.14,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
332,namatanai,PG,83.86,broken clouds,-3.6667,152.4333,Namatanai Hotel
333,bac lieu,VN,77.16,few clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
335,paka,MY,75.2,overcast clouds,4.6374,103.4368,Rumbia Resort Villa
338,libreville,GA,77.0,moderate rain,0.3925,9.4537,Hotel Re-Ndama
340,bucerias,MX,75.2,clear sky,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
348,maiduguri,NG,88.77,broken clouds,11.8464,13.1603,Beach Guest Home
349,tecoanapa,MX,84.45,clear sky,16.5167,-98.75,Hotel Manglares
350,acapulco,MX,86.0,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
352,hambantota,LK,77.68,broken clouds,6.1241,81.1185,Bungalow 63
354,chicama,PE,75.2,clear sky,-7.8447,-79.1469,Chicama Me Gusta
355,ambon,ID,77.0,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
357,lucea,JM,82.4,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
366,san carlos,VE,88.2,broken clouds,9.6612,-68.5827,Hotel Paternopoli
370,nieves,PH,77.0,scattered clouds,15.3274,120.9485,Bill's Inn
377,bayeux,BR,78.8,clear sky,-7.125,-34.9322,Infinity Motel
382,catuday,PH,79.09,broken clouds,16.2923,119.8062,GResort
387,santa cruz,BO,86.0,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
390,berbera,SO,76.5,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
393,noumea,NC,81.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
398,illela,NG,84.94,scattered clouds,13.7292,5.2975,
406,bandarbeyla,SO,76.71,clear sky,9.4942,50.8122,JABIR HOTEL
417,isangel,VU,79.79,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
423,matadi,CD,77.74,moderate rain,-5.8167,13.45,Hotel Fortune
425,yeppoon,AU,77.0,heavy intensity drizzle,-23.1333,150.7333,Villa Mar Colina
426,jurado,CO,81.01,light rain,7.1053,-77.7641,
429,duku,NG,89.31,overcast clouds,11.2361,4.9073,
431,si sa ket,TH,81.0,broken clouds,14.8333,104.3333,ร้านค้า อัญชัน
432,bubaque,GW,78.33,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
437,aloleng,PH,80.17,broken clouds,16.1307,119.7824,Agno Umbrella Rocks
442,villa de san francisco,HN,80.6,broken clouds,14.1667,-86.9667,Hotel Macris
443,basco,PH,78.94,clear sky,20.4487,121.9702,Nathaniel's Lodge
444,iquique,CL,75.2,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
445,moerai,PF,78.28,scattered clouds,-22.4333,-151.3333,Le Manotel
446,neiafu,TO,82.4,scattered clouds,-18.65,-173.9833,Mystic Sands
448,takaungu,KE,79.16,clear sky,-3.6837,39.8566,Takaungu House
450,sao miguel do araguaia,BR,75.63,light rain,-13.275,-50.1628,Hotel Executivo Palace
454,quelimane,MZ,80.6,few clouds,-17.8786,36.8883,Hotel Flamingo
457,lokoja,NG,83.53,overcast clouds,7.8024,6.742999999999999,Hotel Charvid
460,ternate,ID,80.83,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
461,aswan,EG,80.31,clear sky,24.0934,32.907,Nuba Nile
462,luganville,VU,76.77,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
464,mersing,MY,75.2,overcast clouds,2.4312,103.8405,Timotel Hotel
468,bowen,AU,77.0,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
